Ticker;Company name;Sector;Disclosed security breach between 2020-2023;Date of disclosing;Short description;Source;Additional source;Insider involvement;Identifier of the breach;SIC code;Firm size (in thousands) ;Control firm ticker;First stock date;Last stock date
MMM;3M Company;Producer Manufacturing;Yes;X;multiple breaches;X;X;X;X;X;X;;;
AOS;A.O. Smith Corporation;Producer Manufacturing;No;X;X;X;X;X;X;X;X;;;
ABT;Abbott Laboratories;Health Technology;No;X;X;X;X;X;X;X;X;;;
ABBV;AbbVie Inc.;Health Technology;Yes;27-06-2023;MOVEit;https://www.reuters.com/technology/siemens-energy-no-critical-data-was-compromised-after-moveit-data-breach-2023-06-27/;;Outsider;Hacker;2834;0.0252;MRK;22-2-2023;30-10-2023
ACN;Accenture plc;Technology Services;Yes;12-08-2021;;https://www.cybertalk.org/2021/08/12/accentures-50m-ransomware-threat-an-inside-job/  ;https://www.cshub.com/executive-decisions/articles/accenture-faces-50-million-ransom-demand ;Malicious insider;Organization itself;7389;0.0241;GPN;9-4-2021;15-12-2021
ATVI;Activision Blizzard, Inc;Technology Services;Yes;20-02-2023;;https://gameworldobserver.com/2023/02/20/activision-hack-phishing-call-of-duty-roadpmaps;;Insider error;Hacker;7372;0.0237;ADBE;18-10-2022;25-6-2023
ADBE;Adobe Inc.;Technology Services;No;X;X;X;X;X;X;X;X;;;
AAP;Advance Auto Parts Inc.;Retail Trade;No;X;X;X;X;X;X;X;X;;;
AMD;Advanced Micro Devices, Inc.;Electronic Technology;Yes;28-06-2022;;https://therecord.media/amd-investigating-claims-of-stolen-data ;https://techcrunch.com/2022/06/28/amd-extortion-ransomhouse/ ;Outsider;Hacker;3674;0.0225;ON;23-2-2022;31-10-2022
AFL;AFLAC Incorporated;Finance;Yes;08-01-2023;;https://thecyberexpress.com/zurich-insurance-and-aflac-data-leak/ ;https://www.cpomagazine.com/cyber-security/data-breach-exposed-2-million-aflac-and-zurich-insurance-policyholders-records/ ;Outsider;Hacker;6311 & 6331;0.0258;L;5-9-2022;13-5-2023
A;Agilent Technologies, Inc.;Health Technology;No;X;X;X;X;X;X;X;X;;;
APD;Air Products and Chemicals, Inc.;Process Industries;No;X;X;X;X;X;X;X;X;;;
AKAM;Akamai Technologies, Inc.;Technology Services;No;X;X;X;X;X;X;X;X;;;
ALK;Alaska Air Group, Inc.;Transportation;No;X;X;X;X;X;X;X;X;;;
ALB;Albemarle Corporation;Process Industries;No;X;X;X;X;X;X;X;X;;;
ARE;Alexandria Real Estate Equities, Inc.;Finance;No;X;X;X;X;X;X;X;X;;;
ALGN;Align Technology, Inc.;Health Technology;No;X;X;X;X;X;X;X;X;;;
ALLE;Allegion plc;Producer Manufacturing;No;X;X;X;X;X;X;X;X;;;
LNT;Alliant Energy Corporation;Utilities;No;X;X;X;X;X;X;X;X;;;
ALL;Allstate Corporation (The);Finance;Yes;15-11-2022;;https://colevannote.com/data-breach-allstate-insurance-company/ ;;Outsider;Organization itself;6311 & 6331;0.0255;TRV;13-7-2022;20-3-2023
GOOG;Alphabet Inc.;Technology Services;No;X;X;X;X;X;X;X;X;;;
GOOGL;Alphabet Inc.;Technology Services;No;X;X;X;X;X;X;X;X;;;
MO;Altria Group, Inc.;Consumer Non-Durables;No;X;X;X;X;X;X;X;X;;;
AMZN;Amazon.com, Inc.;Retail Trade;Yes;26-10-2020;;https://www.vice.com/en/article/dy8zwz/amazon-fired-employee-leaking-customer-emails ;https://firewalltimes.com/amazon-data-breach-timeline/ ;Malicious insider;Organization itself;5961;0.0261;ULTA;23-6-2020;28-2-2021
AMCR;Amcor plc;Process Industries;No;X;X;X;X;X;X;X;X;;;
AEE;Ameren Corporation;Utilities;Yes;23-03-2020;;https://www.stlpr.org/politics-issues/2020-03-23/ameren-missouri-equipment-supplier-targeted-in-ransomware-attack ;;Insider error;Hacker;4939;0.0241;AES;19-11-2019;26-7-2020
AAL;American Airlines Group, Inc.;Transportation;Yes;X;multiple breaches;X;X;X;X;X;X;;;
AEP;American Electric Power Company, Inc.;Utilities;Yes;X;multiple breaches;X;X;X;X;X;X;;;
AXP;American Express Company;Finance;No;X;X;X;X;X;X;X;X;;;
AIG;American International Group, Inc. New;Finance;No;X;X;X;X;X;X;X;X;;;
AMT;American Tower Corporation (REIT);Finance;No;X;X;X;X;X;X;X;X;;;
AWK;American Water Works Company, Inc.;Utilities;No;X;X;X;X;X;X;X;X;;;
AMP;Ameriprise Financial, Inc.;Finance;Yes;X;multiple breaches;X;X;X;X;X;X;;;
ABC;AmerisourceBergen Corporation;Distribution Services;Yes;08-02-2023;;https://www.bleepingcomputer.com/news/security/drug-distributor-amerisourcebergen-confirms-security-breach/ ;;Insider error;Hacker;unknown;X;;6-10-2022;13-6-2023
AME;AMETEK, Inc.;Producer Manufacturing;No;X;X;X;X;X;X;X;X;;;
