Ticker;Description;Date of breach;S - 2;S - 1;S + 1;S + 2;OI - 2;OI - 1;OI + 1;OI + 2;ROA - 2;ROA - 1;ROA + 1;ROA + 2;ROE - 2;ROE - 1 ;ROE + 1;ROE + 2;OI/A - 2;OI/A - 1;OI/A + 1;OI/A + 2;OI/S - 2;OI/S - 1;OI/S + 1;OI/S + 2
ABBV;AbbVie Inc.;27-6-2023;15.121;12.225;13.865;13.927;2.472,0;241,0;2.027,0;1.781,0;9,5%;6,5%;7,5%;5,8%;82,4%;60,9%;75,8%;56,9%;0,017809157;0,001791236;0,014974107;0,013074342;0,163481251;0,019713701;0,146195456;0,127881094
ACN;Accenture plc;12-8-2021;12.088;13.264;13.419;14.965;1.461,5;1.569,6;1.437,4;1.819,7;19,6%;19,8%;19,3%;20,0%;41,5%;41,9%;41,3%;41,6%;0,036550591;0,037259928;0,03329223;0,041665503;0,120902902;0,118334866;0,10711603;0,121597846
AMD;Advanced Micro Devices, Inc.;28-6-2022;5.887,0;6.550,0;5.565,0;5.599,0;786,0;447,0;66,00;21,00;10,2%;9,2%;6,4%;3,0%;12,7%;11,6%;8,2%;3,8%;0,011746245;0,006622026;0,000973293;;0,133514524;0,068244275;0,011859838;0,00375067
AFL;AFLAC Incorporated;8-1-2023;4.708,0;3.952,0;4.800,0;5.172,0;1.781,0;196,0;1.188,0;1.634,0;3,6%;3,1%;3,2%;3,6%;17,9%;16,6%;18,5%;20,5%;0,013903201;0,001487802;0,008802217;0,012508995;0,378292268;0,049595142;0,2475;0,315931941
ALL;Allstate Corporation (The);15-11-2022;12.219;13.208;13.648;13.786;-1.022,0;-674,0;-296,0;-321,0;0,8%;0,1%;-1,4%;-2,4%;4,1%;0,2%;-7,2%;-12,9%;-0,010607161;-0,006900364;-0,003020747;-0,003221889;-0,083640232;-0,051029679;-0,021688159;-0,023284492
AMZN;Amazon.com, Inc.;26-10-2020;88.912;96.145;125.555;108.518;5.243,0;6.331,0;7.222,0;8.107,0;7,2%;8,5%;8,9%;3,8%;25,7%;29,4%;31,1%;12,2%;0,020297003;0,022436113;0,022484783;0,025093089;0,058968418;0,065848458;0,057520608;0,0747065
AEE;Ameren Corporation;23-03-2020;1.659,0;1.316,0;1.440,0;1.398,0;366,0;95,00;148,0;244,0;3,5%;3,6%;3,4%;3,6%;12,3%;12,7%;12,0%;12,8%;0,012821411;0,003283448;0,005056026;0,008128998;0,220614828;0,07218845;0,102777778;0,17453505
APA;APA Corporation;02-11-2022;3.047,0;2.887,0;2.472,0;2.008,0;1.067,0;530,0;539,0;326,0;34,3%;41,5%;43,4%;33,1%;573,8%;797,4%;1.826,1%;371,6%;0,082559579;0,038887666;0,040997946;0,024672671;0,350180505;0,183581573;0,218042071;0,162350598
AJG;Arthur J. Gallagher & Co.;30-9-2020;1.584,0;1.849,1;1.703,6;2.165,0;161,8;187,8;153,1;393,7;3,6%;4,0%;4,2%;4,1%;13,9%;15,3%;15,2%;15,6%;0,007594034;0,008608795;0,006855817;0,016125663;0,102146465;0,101562923;0,089868514;0,181847575
ADSK;Autodesk, Inc.;2-9-2021;989,3;1.059,7;1.125,8;1.211,6;155,6;115,6;136,7;89,10;9,2%;9,1%;8,7%;7,1%;118,8%;85,6%;93,2%;62,2%;0,021320033;0,015578255;0,016023913;0,01035228;0,157282927;0,109087478;0,121424765;0,073539122
AZO;AutoZone, Inc.;21-11-2023;5.690,6;4.190,3;3.859,1;;864,8;593,5;515,0;;20,3%;20,6%;20,4%;;77,8%;96,8%;86,5%;;0,054100243;0,036425193;0,03080756;;0,15197641;0,141627767;0,133457541;
BBWI;Bath & Body Works, Inc.;31-10-2022;1.618,0;1.604,0;2.888,0;1.396,0;120,0;91,00;428,0;81,00;12,0%;22,6%;18,1%;18,9%;35,3%;45,2%;35,5%;40,9%;0,024484799;0,017728424;0,077903167;0,015103487;0,074165637;0,056733167;0,148199446;0,058022923
BA;Boeing Company (The);2-11-2023;19.751;18.104;22.018;16.569;-149,0;-1.638,0;-30,00;-355,0;-3,5%;-2,0%;-1,5%;-1,4%;;;;;-0,001105554;-0,012198301;-0,000218959;-0,002639719;-0,007543922;-0,090477243;-0,001362522;-0,021425554
BKNG;Booking Holdings Inc. Common Stock;13-11-2023;5.462,0;7.341,0;4.784,0;4.415,0;1.290,0;2.511,0;222,0;776,0;21,7%;27,4%;22,1%;23,1%;332,6%;428,4%;288,5%;;0,048572935;0,097952019;0,009120039;0,027986151;0,236177224;0,342051492;0,046404682;0,175764439
BMY;Bristol-Myers Squibb Company;11-7-2023;11.337;11.226;10.966;11.477;2.267,0;2.077,0;1.934,0;1.762,0;8,9%;9,0%;9,1%;8,8%;27,7%;26,9%;27,9%;27,9%;0,024045142;0,022216517;0,021191501;0,018516378;0,199964717;0,185016925;0,176363305;0,15352444
CZR;Caesars Entertainment, Inc.;14-9-2023;2.830,0;2.879,0;2.994,0;2.825,0;-136,0;928,0;92,00;-56,00;-0,6%;-0,7%;-0,5%;-0,2%;-5,1%;-6,1%;-4,1%;-1,4%;-0,004078083;0,027719697;0,002768666;-0,001678355;-0,048056537;0,322334144;0,030728123;-0,019823009
CPB;Campbell Soup Company;26-9-2023;2.229,0;2.068,0;2.518,0;2.456,0;160,0;169,0;234,0;203,0;8,6%;9,4%;8,6%;8,4%;29,4%;32,3%;29,0%;27,2%;0,013252713;0,014015591;0,019091132;0,016768545;0,071781068;0,08172147;0,092930898;0,082654723
