Ticker;Description;Date of breach;S - 2;S - 1;S + 1;S + 2;OI - 2;OI - 1;OI + 1;OI + 2;ROA - 2;ROA - 1;ROA + 1;ROA + 2;ROE - 2;ROE - 1 ;ROE + 1;ROE + 2;OI/A - 2;OI/A - 1;OI/A + 1;OI/A + 2;OI/S - 2;OI/S - 1;OI/S + 1;OI/S + 2
MRK;Merck & Company, Inc.;27-6-2023;13.830;14.487;15.035;15.962;3.018,0;2.825,0;5.972,0;4.750,0;15,3%;14,2%;5,1%;7,0%;39,0%;34,7%;13,2%;17,4%;0,02764749;0,026206909;-0,057165283;0,044506076;0,218221258;0,195002416;-0,397206518;0,297581757
GPN;Global Payments Inc.;12-8-2021;1.990,0;2.137,4;2.202,3;2.194,0;198,4;266,8;305,5;217,2;1,4%;2,0%;2,2%;2,3%;2,3%;3,3%;3,6%;3,9%;0,004483059;0,005909456;0,006676068;0,004796409;0,099703017;0,124826896;0,13869793;0,098989052
ON;ON Semiconductor Corporation;28-6-2022;1.846,1;1.945,0;2.085,0;2.192,6;426,4;531,0;456,6;311,9;12,7%;17,9%;21,0%;20,6%;28,4%;39,0%;44,1%;42,1%;0,044296696;0,051995613;0,042322059;0,028097327;0,230973403;0,273007712;0,218992806;0,142251209
L;Loews Corporation;8-1-2023;3.521,0;3.805,0;3.805,0;3.948,0;-27,00;379,0;404,0;388,0;1,1%;1,1%;1,2%;1,5%;5,0%;5,1%;5,6%;7,2%;-0,000359468;0,005015417;0,005276907;0,005016355;-0,007668276;0,099605782;0,106176084;0,098277609
TRV;The Travelers Companies, Inc.;15-11-2022;9.156,0;9.317,0;9.639,0;9.705,0;551,0;454,0;819,0;975,0;3,0%;2,9%;2,4%;2,4%;13,6%;13,8%;11,2%;11,4%;0,004726084;0,003971413;0,007077612;0,008238137;0,060179118;0,048728131;0,08496732;0,100463679
ULTA;Ulta Beauty, Inc.;26-10-2020;1.173,2;1.228,0;1.552,0;2.198,7;-78,51;8,05;74,80;171,5;11,0%;7,1%;6,0%;4,6%;30,5%;20,2%;16,0%;11,9%;-0,014195695;0,001464403;0,015356221;0,033691751;-0,066918966;0,006555321;0,048194945;0,077996089
AES;The AES Corporation;23-3-2020;2.625,0;2.431,0;2.338,0;2.217,0;298,0;-120,0;229,0;0;3,8%;3,0%;2,9%;2,8%;22,4%;18,5%;18,7%;18,9%;0,008916016;-0,003566334;0,006707281;0;0,11352381;-0,049362402;0,097946963;0
PXD;Pioneer Natural Resources Company;2-11-2022;7.005,0;6.057,0;5.174,0;4.597,0;2.371,0;1.984,0;1.481,0;1.222,0;21,4%;24,8%;27,4%;24,5%;34,1%;39,3%;43,9%;39,3%;0,06356398;0,055502714;0,041438165;0,033841978;0,33847252;0,327554895;0,286238887;0,265825538
BRO;Brown & Brown, Inc.;30-9-2020;1.141,0;1.857,0;2.016,0;3.064,0;-449,0;-85,00;-30,00;-70,00;3,2%;1,0%;-1,4%;-2,9%;4,9%;1,5%;-2,2%;-4,7%;-0,025075394;-0,004479106;-0,001560144;-0,002306349;-0,393514461;-0,045772752;-0,014880952;-0,022845953
SNPS;Synopsys, Inc.;2-9-2021;1.024,3;1.057,1;1.152,4;1.270,3;194,8;198,4;201,1;313,3;10,5%;9,9%;9,6%;11,3%;17,5%;16,4%;15,8%;18,6%;0,023358518;0,023378754;0,022981493;0,035201402;0,190174945;0,187668499;0,174537061;0,246673909
