Ticker;Date;Stock close;Stock net;Percentage change;Stock open;Low;High
SP500;01-mei-2024;5.018,3850;-17,3067;-0,3437%;5.018,3850;5.018,3850;5.018,3850
SP500;30-apr-2024;5.035,6917;-80,4759;-1,5730%;5.035,6917;5.035,6917;5.035,6917
SP500;29-apr-2024;5.116,1676;+16,2051;+0,3177%;5.116,1676;5.116,1676;5.116,1676
SP500;26-apr-2024;5.099,9625;+51,5468;+1,0210%;5.099,9625;5.099,9625;5.099,9625
SP500;25-apr-2024;5.048,4157;-23,2128;-0,4577%;5.048,4157;5.048,4157;5.048,4157
SP500;24-apr-2024;5.071,6285;+1,0773;+0,0212%;5.071,6285;5.071,6285;5.071,6285
SP500;23-apr-2024;5.070,5512;+59,9466;+1,1964%;5.070,5512;5.070,5512;5.070,5512
SP500;22-apr-2024;5.010,6046;+43,3697;+0,8731%;5.010,6046;5.010,6046;5.010,6046
SP500;19-apr-2024;4.967,2349;-43,8879;-0,8758%;4.967,2349;4.967,2349;4.967,2349
SP500;18-apr-2024;5.011,1228;-11,0852;-0,2207%;5.011,1228;5.011,1228;5.011,1228
SP500;17-apr-2024;5.022,2080;-29,2059;-0,5782%;5.022,2080;5.022,2080;5.022,2080
SP500;16-apr-2024;5.051,4139;-10,4016;-0,2055%;5.051,4139;5.051,4139;5.051,4139
SP500;15-apr-2024;5.061,8155;-61,5913;-1,2022%;5.061,8155;5.061,8155;5.061,8155
SP500;12-apr-2024;5.123,4068;-75,6500;-1,4551%;5.123,4068;5.123,4068;5.123,4068
SP500;11-apr-2024;5.199,0568;+38,4170;+0,7444%;5.199,0568;5.199,0568;5.199,0568
SP500;10-apr-2024;5.160,6398;-49,2710;-0,9457%;5.160,6398;5.160,6398;5.160,6398
SP500;09-apr-2024;5.209,9108;+7,5189;+0,1445%;5.209,9108;5.209,9108;5.209,9108
SP500;08-apr-2024;5.202,3919;-1,9432;-0,0373%;5.202,3919;5.202,3919;5.202,3919
SP500;05-apr-2024;5.204,3351;+57,1261;+1,1098%;5.204,3351;5.204,3351;5.204,3351
SP500;04-apr-2024;5.147,2090;-64,2771;-1,2334%;5.147,2090;5.147,2090;5.147,2090
SP500;03-apr-2024;5.211,4861;+5,6750;+0,1090%;5.211,4861;5.211,4861;5.211,4861
