Ticker;Company name;Date;Stock close;Stock net;Percentage change;Open;Low;High;Volume;Turnover - USD;Flow;;
ABBV;AbbVie Inc.;30-okt-2023;141,89;+2,96;+2,13%;140,67;140,67;145,71;9.258.591;1.326.954.296,00;-4.925.222.825,00;;
ABBV;AbbVie Inc.;27-okt-2023;138,93;-6,27;-4,32%;138,77;136,03;143,00;9.427.212;1.305.787.858,00;-6.252.177.121,00;;
ABBV;AbbVie Inc.;26-okt-2023;145,20;-0,06;-0,04%;144,86;144,23;145,95;5.569.443;808.926.397,00;-4.946.389.263,00;;
ABBV;AbbVie Inc.;25-okt-2023;145,26;-1,05;-0,72%;146,11;144,82;146,90;5.461.503;794.957.879,00;-4.137.462.866,00;;
ABBV;AbbVie Inc.;24-okt-2023;146,31;+1,58;+1,09%;145,15;145,10;146,97;3.362.941;491.559.270,00;-3.342.504.987,00;;
ABBV;AbbVie Inc.;23-okt-2023;144,73;-1,50;-1,03%;146,16;144,20;146,42;3.903.412;565.636.529,00;-3.834.064.257,00;;
ABBV;AbbVie Inc.;20-okt-2023;146,23;+0,71;+0,49%;145,28;145,28;147,51;4.223.840;618.376.073,00;-3.268.427.728,00;;
ABBV;AbbVie Inc.;19-okt-2023;145,52;-3,76;-2,52%;148,55;143,33;148,55;6.147.208;892.759.368,00;-3.886.803.801,00;;
ABBV;AbbVie Inc.;18-okt-2023;149,28;+0,10;+0,07%;149,27;148,34;149,61;4.910.625;732.598.721,00;-2.994.044.433,00;;
ABBV;AbbVie Inc.;17-okt-2023;149,18;+1,95;+1,32%;147,33;147,15;149,66;5.372.411;798.670.263,00;-3.726.643.154,00;;
ABBV;AbbVie Inc.;16-okt-2023;147,23;-0,73;-0,49%;148,22;146,92;149,50;3.704.361;546.756.563,00;-4.525.313.417,00;;
ABBV;AbbVie Inc.;13-okt-2023;147,96;-0,34;-0,23%;148,95;147,34;149,66;4.305.141;637.476.901,00;-3.978.556.854,00;;
ABBV;AbbVie Inc.;12-okt-2023;148,30;-1,04;-0,70%;148,13;147,01;148,60;4.554.424;674.178.755,00;-3.341.079.953,00;;
ABBV;AbbVie Inc.;11-okt-2023;149,34;+0,45;+0,30%;149,13;148,77;150,40;3.189.787;476.420.304,00;-2.666.901.198,00;;
ABBV;AbbVie Inc.;10-okt-2023;148,89;-0,22;-0,15%;149,39;148,04;149,56;3.728.963;554.989.744,00;-3.143.321.502,00;;
ABBV;AbbVie Inc.;09-okt-2023;149,11;+0,87;+0,59%;148,27;147,16;149,75;2.903.356;431.690.754,00;-2.588.331.758,00;;
