Ticker;Description;Date;Stock close;Stock net;Percentage change;Open;Low;High;Volume;Turnover - USD;Flow
MRK;Merck & Company, Inc.;30-okt-2023;102,68;-0,14;-0,14%;103,28;102,61;104,50;6.915.539;712.572.668,00;6.534.018.002,00
MRK;Merck & Company, Inc.;27-okt-2023;102,82;-2,73;-2,59%;105,32;102,22;105,57;8.933.870;923.279.002,00;7.246.590.670,00
MRK;Merck & Company, Inc.;26-okt-2023;105,55;+1,92;+1,85%;103,10;102,99;107,23;11.335.685;1.201.807.229,00;8.169.869.672,00
MRK;Merck & Company, Inc.;25-okt-2023;103,63;+0,60;+0,58%;103,35;102,95;104,61;7.849.169;814.596.134,00;6.968.062.443,00
MRK;Merck & Company, Inc.;24-okt-2023;103,03;-0,32;-0,31%;103,32;102,68;104,06;6.347.902;655.145.821,00;6.153.466.309,00
MRK;Merck & Company, Inc.;23-okt-2023;103,35;+0,68;+0,66%;102,83;102,67;104,15;8.492.971;878.994.010,00;6.808.612.130,00
MRK;Merck & Company, Inc.;20-okt-2023;102,67;+2,24;+2,23%;99,99;99,99;103,36;12.467.505;1.277.632.780,00;5.929.618.120,00
MRK;Merck & Company, Inc.;19-okt-2023;100,43;-1,56;-1,53%;101,66;99,14;101,73;7.647.567;767.991.860,00;4.651.985.340,00
MRK;Merck & Company, Inc.;18-okt-2023;101,99;-2,18;-2,09%;104,11;101,91;104,46;7.136.408;732.163.911,00;5.419.977.200,00
MRK;Merck & Company, Inc.;17-okt-2023;104,17;+0,03;+0,03%;104,00;103,15;104,49;5.827.151;605.326.831,00;6.152.141.111,00
MRK;Merck & Company, Inc.;16-okt-2023;104,14;+0,13;+0,12%;104,20;104,06;105,37;6.473.527;676.403.495,00;5.546.814.280,00
MRK;Merck & Company, Inc.;13-okt-2023;104,01;+0,42;+0,41%;103,61;102,78;104,52;5.787.618;600.645.749,00;4.870.410.785,00
MRK;Merck & Company, Inc.;12-okt-2023;103,59;+0,13;+0,13%;103,52;102,93;103,95;5.124.130;530.388.116,00;4.269.765.036,00
MRK;Merck & Company, Inc.;11-okt-2023;103,46;-0,15;-0,14%;104,00;102,85;104,21;5.375.241;555.403.309,00;3.739.376.920,00
MRK;Merck & Company, Inc.;10-okt-2023;103,61;-0,89;-0,85%;104,32;103,16;104,46;7.177.194;744.608.965,00;4.294.780.229,00
MRK;Merck & Company, Inc.;09-okt-2023;104,50;+0,62;+0,60%;103,50;103,31;105,19;5.061.149;527.725.334,00;5.039.389.194,00
MRK;Merck & Company, Inc.;06-okt-2023;103,88;+0,28;+0,27%;103,73;102,92;104,43;6.854.948;711.662.244,00;4.511.663.860,00
MRK;Merck & Company, Inc.;05-okt-2023;103,60;+1,43;+1,40%;102,36;102,34;103,71;6.449.076;666.240.949,00;3.800.001.616,00
MRK;Merck & Company, Inc.;04-okt-2023;102,17;+0,40;+0,39%;101,58;101,33;102,43;6.720.526;685.660.781,00;3.133.760.667,00
MRK;Merck & Company, Inc.;03-okt-2023;101,77;-0,78;-0,76%;102,24;100,92;102,44;5.924.010;601.875.482,00;2.448.099.886,00
MRK;Merck & Company, Inc.;02-okt-2023;102,55;-0,40;-0,39%;102,83;101,35;102,83;7.079.859;723.836.810,00;3.049.975.368,00
MRK;Merck & Company, Inc.;29-sep-2023;102,95;-1,35;-1,29%;104,36;102,71;104,68;7.232.722;745.833.411,00;3.773.812.178,00
MRK;Merck & Company, Inc.;28-sep-2023;104,30;+0,36;+0,35%;104,57;103,78;104,97;4.758.881;496.113.069,00;4.519.645.589,00
MRK;Merck & Company, Inc.;27-sep-2023;103,94;-1,45;-1,38%;105,45;103,30;105,52;5.635.035;586.340.375,00;4.023.532.520,00
MRK;Merck & Company, Inc.;26-sep-2023;105,39;-0,45;-0,43%;105,12;105,11;106,55;5.400.608;570.612.629,00;4.609.872.895,00
MRK;Merck & Company, Inc.;25-sep-2023;105,84;-0,50;-0,47%;106,05;105,11;106,19;6.052.222;639.775.567,00;5.180.485.524,00
MRK;Merck & Company, Inc.;22-sep-2023;106,34;-0,39;-0,37%;107,22;105,96;107,22;5.027.400;535.497.949,00;5.820.261.091,00
MRK;Merck & Company, Inc.;21-sep-2023;106,73;-0,58;-0,54%;107,27;106,42;107,88;5.856.602;627.629.268,00;6.355.759.040,00
MRK;Merck & Company, Inc.;20-sep-2023;107,31;-0,05;-0,05%;108,21;107,25;108,40;4.594.165;494.510.417,00;6.983.388.308,00
MRK;Merck & Company, Inc.;19-sep-2023;107,36;-0,46;-0,43%;107,65;106,91;108,18;5.818.324;625.044.705,00;7.477.898.725,00
MRK;Merck & Company, Inc.;18-sep-2023;107,82;+0,30;+0,28%;107,77;106,85;107,94;3.911.543;421.106.861,00;8.102.943.430,00
MRK;Merck & Company, Inc.;15-sep-2023;107,52;-0,72;-0,67%;108,12;107,26;108,93;9.638.992;1.038.957.860,00;7.681.836.569,00
MRK;Merck & Company, Inc.;14-sep-2023;108,24;+0,43;+0,40%;107,69;106,96;108,51;6.872.401;741.826.906,00;8.720.794.429,00
MRK;Merck & Company, Inc.;13-sep-2023;107,81;-1,21;-1,11%;108,98;107,67;109,67;6.761.746;731.741.645,00;7.978.967.523,00
MRK;Merck & Company, Inc.;12-sep-2023;109,02;+0,42;+0,39%;108,42;107,55;109,48;4.605.423;501.104.529,00;8.710.709.168,00
MRK;Merck & Company, Inc.;11-sep-2023;108,60;-0,45;-0,41%;109,33;108,34;109,44;5.069.348;551.093.008,00;8.209.604.639,00
MRK;Merck & Company, Inc.;08-sep-2023;109,05;+1,11;+1,03%;107,54;107,54;109,14;6.807.513;740.078.477,00;8.760.697.647,00
MRK;Merck & Company, Inc.;07-sep-2023;107,94;+1,45;+1,36%;106,91;106,86;108,69;8.532.636;920.754.195,00;8.020.619.170,00
MRK;Merck & Company, Inc.;06-sep-2023;106,49;-1,02;-0,95%;106,76;104,92;107,00;7.926.130;841.256.107,00;7.099.864.975,00
MRK;Merck & Company, Inc.;05-sep-2023;107,51;-2,33;-2,12%;109,46;107,49;109,72;6.379.919;689.751.100,00;7.941.121.082,00
MRK;Merck & Company, Inc.;01-sep-2023;109,84;+0,86;+0,79%;109,65;109,25;110,37;4.941.343;542.347.374,00;8.630.872.182,00
MRK;Merck & Company, Inc.;31-aug-2023;108,98;-1,23;-1,12%;110,12;108,89;110,54;9.212.051;1.008.156.949,00;8.088.524.808,00
